"Name","State","Notes","User","Tags","Created","Runtime","alpha","lr_Q","lr_V","lr_all","memory_bypass","n_actions","n_obs","n_states","normalize","num_desired_trajectories","random_feature_dim","reset_every","seed","state_dim","trajectory_length","update_state_given_obs","dseed","env_args.cols","env_args.levels","env_args.rows","env_type","batch_size","d_model","eps_M","hidden_size","include_init_state_info","lr_M","max_iter_M","memory_bias","model","n_heads","reg_M","reg_Q","reg_V","loss","sa_accuracy","sa_conf","sa_dist_ratio","test_accuracy","test_conf","train/epoch_ct","train/loss","train/mloss_p_epoch","train/mloss_p_traj","train/step_ct","train/traj_ct","train_acc","train_conf"
"tree_{'levels': 3}_sdim_20_rfdim_1000_lrV_0.04_seed_68","finished","-","","","2025-01-23T04:30:47.000Z","293","4","0.1","0.04","0.1","","3","7","7","false","1536","1000","1","68","20","12","true","65","","3","","tree","64","","0.001","","","1","1","true","","","0","0","0","","0.8333333333333334","0.5257146582007408","0.4950529254224352","0.5583570075757576","0.3854917684358752","24","NaN","3.8895758756182417","NaN","6600","600","0.5417850378787878","0.37766028164741894"
"tree_{'levels': 3}_sdim_20_rfdim_1000_lrV_0.02_seed_68","finished","-","","","2025-01-23T04:25:12.000Z","334","4","0.1","0.02","0.1","","3","7","7","false","1536","1000","1","68","20","12","true","65","","3","","tree","64","","0.001","","","1","1","true","","","0","0","0","","0.9166666666666666","0.6593984067440033","0.4368474929869854","0.6689157196969697","0.470985920583065","30","NaN","3.8901205117052258","NaN","8184","744","0.6454190340909091","0.4587282845320302"
"tree_{'levels': 3}_sdim_20_rfdim_1000_lrV_0.1_seed_67","finished","-","","","2025-01-23T04:17:52.000Z","439","4","0.1","0.1","0.1","","3","7","7","false","1536","1000","1","67","20","12","true","65","","3","","tree","64","","0.001","","","1","1","true","","","0","0","0","","0.5833333333333334","0.4459772690708708","0.8198355042227945","0.46330492424242425","0.38148773152662135","40","1.823819875717163","3.3109913233554726","3.094919139688665","10560","960","0.4508167613636363","0.3707093792834395"
"tree_{'levels': 3}_sdim_20_rfdim_1000_lrV_0.08_seed_67","finished","-","","","2025-01-23T04:09:52.000Z","478","4","0.1","0.08","0.1","","3","7","7","false","1536","1000","1","67","20","12","true","65","","3","","tree","64","","0.001","","","1","1","true","","","0","0","0","","0.5833333333333334","0.5049474738997238","0.5530010838014979","0.4728929924242424","0.3751311868365423","40","1.5196861028671265","2.6050064717278336","2.642024527896534","10560","960","0.4794034090909091","0.3789983176666214"
"tree_{'levels': 3}_sdim_20_rfdim_1000_lrV_0.04_seed_67","finished","-","","","2025-01-23T03:50:20.000Z","1171","4","0.1","0.04","0.1","","3","7","7","false","1536","1000","1","67","20","12","true","65","","3","","tree","64","","0.001","","","1","1","true","","","0","0","0","","0.4166666666666667","0.3286762331748226","0.9386796831331798","0.3438091856060606","0.2689741295460849","40","1.8676995038986208","2.9289249073375356","3.0265489383177324","10560","960","0.3291903409090909","0.26138570286170626"
"tree_{'levels': 3}_sdim_20_rfdim_1000_lrV_0.02_seed_67","finished","-","","","2025-01-23T03:23:56.000Z","1583","4","0.1","0.02","0.1","","3","7","7","false","1536","1000","1","67","20","12","true","65","","3","","tree","64","","0.001","","","1","1","true","","","0","0","0","","0.9166666666666666","0.7208401275177797","0.4699134329254483","0.6508641098484849","0.5127373094053038","23","NaN","3.849308335419857","NaN","6336","576","0.6532315340909091","0.513215929830129"
"tree_{'levels': 3}_sdim_20_rfdim_1000_lrV_0.1_seed_66","finished","-","","","2025-01-23T03:16:56.000Z","418","4","0.1","0.1","0.1","","3","7","7","false","1536","1000","1","66","20","12","true","65","","3","","tree","64","","0.001","","","1","1","true","","","0","0","0","","0.6666666666666666","0.5013887621462345","0.6070936855348431","0.4021661931818182","0.34142196750654175","18","NaN","3.8604436868971046","NaN","5016","456","0.4147727272727273","0.351757071235473"
"tree_{'levels': 3}_sdim_20_rfdim_1000_lrV_0.08_seed_66","finished","-","","","2025-01-23T03:08:30.000Z","505","4","0.1","0.08","0.1","","3","7","7","false","1536","1000","1","66","20","12","true","65","","3","","tree","64","","0.001","","","1","1","true","","","0","0","0","","0.6666666666666666","0.4490143078415372","0.7025096523684898","0.3803267045454546","0.3011897850494251","40","1.975351095199585","2.897703950152253","2.968585567040877","10560","960","0.3773082386363637","0.2987893376232478"
"tree_{'levels': 3}_sdim_20_rfdim_1000_lrV_0.04_seed_66","finished","-","","","2025-01-23T02:00:49.000Z","4059","4","0.1","0.04","0.1","","3","7","7","false","1536","1000","1","66","20","12","true","65","","3","","tree","64","","0.001","","","1","1","true","","","0","0","0","","0.8333333333333334","0.524608738720417","0.479528846567943","0.5155658143939394","0.37895539000732575","40","1.6382218599319458","2.747971585302642","2.668746829032898","10560","960","0.5049124053030303","0.3735573569904628"
"tree_{'levels': 3}_sdim_20_rfdim_1000_lrV_0.02_seed_66","finished","-","","","2025-01-23T01:52:23.000Z","505","4","0.1","0.02","0.1","","3","7","7","false","1536","1000","1","66","20","12","true","65","","3","","tree","64","","0.001","","","1","1","true","","","0","0","0","","0.6666666666666666","0.443170686562856","0.48015489701523056","0.4063683712121212","0.31711493626249704","40","1.970685362815857","3.02508972223961","3.154231320727955","10560","960","0.3983783143939394","0.31229353882896027"
"grid_{'rows': 3, 'cols': 3}_sdim_20_rfdim_2000_lrV_0.1_seed_69","finished","-","","","2025-01-23T00:13:33.000Z","685","4","0.1","0.1","0.1","","4","9","9","false","1536","2000","1","69","20","12","true","65","3","","3","grid","64","","0.001","","","1","1","true","","","0","0","0","","1","0.8038957814375559","0.09220499828845548","0.9124644886363636","0.7187205107779364","40","1.4935165643692017","2.334468286145817","2.275826567953283","10560","960","0.9080847537878788","0.7166589545460469"
